Year-Month,Export_Quantity_(Kg),Export_Price_(Rs.),High_Grown_Quantity_(Kg),Medium_Grown_Quantity_(Kg),Low_Grown_Quantity_(Kg),Avg_Exchange_Rate,FEE_(USD)
2017-11,22571899.19,816.35,5193621,3568752,16219347,153.5074071,120037008.3
2017-12,22927592.95,803.88,4728015,3456739,15748232,153.029035,120441414.4
2018-01,20348215.02,810.67,5177373,3278129,16087615,153.6807625,107337360.9
2018-02,20881329.49,834.42,5032947,3192765,12957173,154.7233,112612637.9
2018-03,25143279.44,818.52,6257310,4089117,18261664,155.576185,132284238
2018-04,19989341.96,814.49,7461180,4872604,15684552,156.0349158,104342794.4
2018-05,22174137.48,818.23,7404751,5359935,19770446,157.65975,115080383.6
2018-06,23946806.74,822.13,4782273,3629481,14854870,158.8659921,123924497.4
2018-07,24058528.37,780.21,3816781,3587480,16520444,159.1256214,117961546.7
2018-08,22915516.14,767.54,3690803,3015980,14857009,160.1091386,109853662.4
2018-09,24873414.54,772.13,4063313,3248922,12075127,164.3785895,116837050.6
2018-10,22423967.78,833.49,7160247,5078431,17475453,170.9593068,109325156.1
2018-11,20583272.17,841.87,4924348,3836784,16131773,176.6180289,98112516.85
2018-12,24439565.77,820.65,5198619,3941351,17167184,179.922335,111472150.7
2019-01,22677314.8,838.69,4862498,3767130,14722855,181.8684614,104576884.9
2019-02,22604404.41,826.47,4220161,3391721,14104688,178.5411389,104636176.5
2019-03,25329458.5,831.36,5701796,4441894,18212707,178.2049842,118166720.8
2019-04,20177028.34,817,5308112,3760269,14568095,174.7470275,94334263.59
2019-05,25738047.96,816.89,8090527,5764378,20396821,176.2660071,119280820.7
2019-06,23301690.64,808.42,6343167,4560392,16627289,176.4637789,106750251.3
2019-07,23959588.42,773.47,5379462,3983081,16610767,175.8678864,105374683.5
2019-08,25449221.78,789.86,4871773,3887641,17442073,177.8842025,113002290.4
2019-09,24071163.1,786.32,3879344,3268112,14770567,180.6090725,104798926.8
2019-10,25124027.12,781.95,3568579,3349151,14345677,181.2971674,108362051.6
2019-11,21312837.9,813.48,6550656,4160108,13315362,180.3050105,96156880.63
2019-12,23088174.89,789.62,4270633,2838194,14784992,181.12434,100653974.3
2020-01,21349746.35,800.05,5085171,3519689,13338052,181.3378857,94193579.57
2020-02,22821578.75,808.06,4548531,3388080,10276682,181.5135083,101596873.4
2020-03,13258752.16,819.73,3442723,2688075,7395238,184.7721618,58821614.71
2020-04,17723181.89,826.15,4180458,3078744,13563444,193.4117444,75703813.96
2020-05,21961228.22,887.46,6788532,5971322,15843192,187.3207235,104044609.8
2020-06,22811009.03,891.62,7358261,4486521,15512288,185.8685714,109425448.9
2020-07,26886016.68,854.02,5869909,4276074,16333720,185.823913,123564268.9
2020-08,21342566.74,851.86,4138376,3416123,14901637,184.89625,98330165.72
2020-09,23467652.55,858.38,4219565,3471742,14345821,184.9709524,108904470.3
2020-10,22270146.18,882.24,4570641,3580748,15693400,184.4105,106542814.9
2020-11,19347560.81,861.91,5502338,4129846,15279668,184.8504762,90212676.11
2020-12,23335778.02,871.05,6537989,4725292,17393872,187.407619,108462129.5
2021-01,20055466.74,910.47,4826484,3305149,14913562,192.3457974,94932673.61
2021-02,22442529.6,922.8,4590738,3588384,14200275,194.607775,106419007.7
2021-03,24817180.79,934.88,6474028,5006587,16930374,197.5475682,117445566.1
2021-04,15715541.26,940.46,6850518,5497243,17239746,198.2012778,74569841.82
2021-05,22961057.72,896.68,7176417,5910791,17288611,199.739825,103077697.4
2021-06,26044843.96,903.15,5908146,4472658,15556888,200.3724429,117393392.5
2021-07,24769974.31,880.87,5798600,4783750,15582615,200.4204,108866798.3
2021-08,24730451.48,891.92,4993739,3830891,14875463,200.5430909,109989250.6
2021-09,22620033.82,873.58,4105984,3671696,14786344,200.7794048,98418506.46
2021-10,23590363.49,887.86,4774736,4016782,15205413,200.75,104333450.2
2021-11,24933063.33,899.77,4127663,3228016,12647820,200.75,111751045.5
2021-12,23318706.05,901.5,4510771,3201506,12705216,200.75,104716381.1
2022-01,18774112.16,924.36,5450228,3891205,13475781,200.75,86446019.01
2022-02,20527453.32,947.56,4336674,2816892,11009892,200.75,96891624.75
2022-03,22351677.74,1026.69,5033743,3473041,13509104,257.387781,89158249.6
2022-04,17680339.56,1376.68,5701102,4155560,13052927,325.2822944,74827835.03
2022-05,19027833.76,1679.29,6396596,4797854,14844841,361.8331222,88309358.63
2022-06,22712799.37,1740.53,4055137,2966624,13127004,361.242231,109434349.9
2022-07,22070134.74,1824.78,4087998,2895363,12877521,362.784635,111011152.6
2022-08,22214627.74,1904.92,3392650,2463725,12420516,363.0304705,116566217.2
2022-09,20784280.32,1952.32,4733873,3521068,12708395,364.2031386,111414652.6
2022-10,18313385.52,2046.32,3955169,3059949,11736446,365.3247684,102580088.4
2022-11,18541930.65,1959.7,4345969,3093063,12805882,366.2916905,99201326.26
2022-12,18647687.27,1981.28,4318277,2908277,12274848,366.3645425,100845703
2023-01,16780982.97,2028.8,3602233,2465070,13070219,365.9046025,93044083.12
2023-02,17685643.28,2013.36,4287367,3069724,11358162,364.564625,97671480.75
2023-03,17382898.45,1987.75,4662823,3571941,13101506,329.8047409,104767615.8
2023-04,15278153.66,1827.11,6154178,4472486,14102060,320.9106938,86986404.25
2023-05,19275976.07,1734.93,7008245,4816364,14699890,309.7667238,107960173.2
2023-06,20745187.65,1538.95,5608026,4075834,13313470,302.2415225,105630114.2
2023-07,21938559.39,1570.83,4359540,3336171,13679428,319.444155,107880350
2023-08,22467812.21,1598.47,4175773,2985110,11091047,321.4287571,111732765
2023-09,22133218.37,1634.89,4272729,3038078,11412703,322.7810684,112105017.7
2023-10,17467170.3,1673.84,4122476,3914332,14815431,324.6916023,90046210.4
2023-11,20410980.31,1691.13,4528496,3398725,11658966,328.1801477,105178882.3
2023-12,19893383.16,1711.03,4585022,2965383,12258592,326.7032105,104186840.8
